,Rank,Change,Track,Artist,Peak,Prev,Streak,City,Date,Chart
880,81,-15,I Ain't Sayin',Jordan Davis,48,66,13,Detroit,2024-10-24,City Weekly Pulse Songs
881,82,-34,A Work of Art,"Ice Nine Kills, SHAVO",48,48,2,Detroit,2024-10-24,City Weekly Pulse Songs
882,83,-12,Someone In This Room (feat. Bailey Zimmerman),"Jessie Murph, Bailey Zimmerman",48,71,7,Detroit,2024-10-24,City Weekly Pulse Songs
883,84,-32,Dead N****s (feat. Polo G & G Herbo),"VonOff1700, Polo G, G Herbo",39,52,4,Detroit,2024-10-24,City Weekly Pulse Songs
884,85,New,GEEK TIMË,Yeat,85,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
885,86,-3,Jailbreak,"Waylon Wyatt, Bayker Blankenship",63,83,6,Detroit,2024-10-24,City Weekly Pulse Songs
886,87,Re-Entry,Talk My Shit,BossMan Dlow,10,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
887,88,-45,Backseat Driver,Kane Brown,43,43,2,Detroit,2024-10-24,City Weekly Pulse Songs
888,89,New,Opportunist,Lil Durk,89,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
889,90,-9,Just Like Johnny,Redferrin,68,81,6,Detroit,2024-10-24,City Weekly Pulse Songs
890,91,New,House Again,Hudson Westbrook,91,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
891,92,-29,NISSAN ALTIMA,Doechii,39,63,9,Detroit,2024-10-24,City Weekly Pulse Songs
892,93,-6,90s Rap Mashup,Austin Williams,24,87,7,Detroit,2024-10-24,City Weekly Pulse Songs
893,94,-17,Boogieman,EBK Jaaybo,28,77,25,Detroit,2024-10-24,City Weekly Pulse Songs
894,95,-9,Darlin',Chase Matthew,51,86,36,Detroit,2024-10-24,City Weekly Pulse Songs
895,96,New,Don’t HMU,Anella Herim,96,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
896,97,New,That’s So True,Gracie Abrams,97,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
897,98,-40,Da Ghetto,"Gallery Provence, Rio Da Yung Og",3,58,6,Detroit,2024-10-24,City Weekly Pulse Songs
898,99,-4,Devil You Know,Tyler Braden,44,95,4,Detroit,2024-10-24,City Weekly Pulse Songs
899,100,New,PHAT,DaBaby,100,—,1,Detroit,2024-10-24,City Weekly Pulse Songs
900,1,+1,2AM,BigXthaPlug,1,2,2,Houston,2024-10-24,City Weekly Pulse Songs
901,2,-1,Algo Bien,Profugos De Nuevo Leon,1,1,27,Houston,2024-10-24,City Weekly Pulse Songs
902,3,New,Con Toda La Fe,LOS DOS DE TAMAULIPAS,3,—,1,Houston,2024-10-24,City Weekly Pulse Songs
903,4,New,WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",4,—,1,Houston,2024-10-24,City Weekly Pulse Songs
904,5,–,Vision De Tunel,Hermanos Espinoza,2,5,7,Houston,2024-10-24,City Weekly Pulse Songs
905,6,New,Ends of the Earth,Ty Myers,6,—,1,Houston,2024-10-24,City Weekly Pulse Songs
906,7,–,Que Vas a Hacer (Version Norteña),"Los Primos del Este, Nivel",7,7,4,Houston,2024-10-24,City Weekly Pulse Songs
907,8,+3,PERLA,Los Del North Texas,8,11,3,Houston,2024-10-24,City Weekly Pulse Songs
908,9,-5,War Wounds (with Maxo Kream & Lil' Keke),"That Mexican OT, Maxo Kream, Lil' Keke",4,4,2,Houston,2024-10-24,City Weekly Pulse Songs
909,10,-1,Grinding Right Now,OTB Fastlane,1,9,10,Houston,2024-10-24,City Weekly Pulse Songs
910,11,-1,Cozy,Braxton Keith,7,10,18,Houston,2024-10-24,City Weekly Pulse Songs
911,12,+6,No Pasa Nada,"Clave Especial, Fuerza Regida",12,18,2,Houston,2024-10-24,City Weekly Pulse Songs
912,13,New,Love Somebody,Morgan Wallen,13,—,1,Houston,2024-10-24,City Weekly Pulse Songs
913,14,-6,Reflejando,Nivel,8,8,2,Houston,2024-10-24,City Weekly Pulse Songs
914,15,+2,Hecha Pa' Mí,Grupo Frontera,13,17,3,Houston,2024-10-24,City Weekly Pulse Songs
915,16,New,House Again,Hudson Westbrook,16,—,1,Houston,2024-10-24,City Weekly Pulse Songs
916,17,New,Smith (with Junior H & Fuerza Regida),"Chino Pacas, Junior H, Fuerza Regida",17,—,1,Houston,2024-10-24,City Weekly Pulse Songs
917,18,-5,LIL DEMON,Future,6,13,4,Houston,2024-10-24,City Weekly Pulse Songs
918,19,+1,Sale Para Ser Feliz,Ivan Cornejo,4,20,14,Houston,2024-10-24,City Weekly Pulse Songs
919,20,New,Federal Nightmares,Rod Wave,20,—,1,Houston,2024-10-24,City Weekly Pulse Songs
920,21,+1,No One Noticed,The Marías,8,22,17,Houston,2024-10-24,City Weekly Pulse Songs
921,22,-3,Brokey,Latto,10,19,10,Houston,2024-10-24,City Weekly Pulse Songs
922,23,-8,I Never Lie,Zach Top,14,15,17,Houston,2024-10-24,City Weekly Pulse Songs
923,24,–,2 Slippery (feat. BossMan Dlow),"Luh Tyler, BossMan Dlow",8,24,13,Houston,2024-10-24,City Weekly Pulse Songs
924,25,New,HIM ALL ALONG,Gunna,25,—,1,Houston,2024-10-24,City Weekly Pulse Songs
925,26,New,Noid,"Tyler, The Creator",26,—,1,Houston,2024-10-24,City Weekly Pulse Songs
926,27,-15,El Punto - Prod. by Ernesto Losa,"Charly & Johayron, Bebeshito, El Taiger, Ernesto Losa",8,12,4,Houston,2024-10-24,City Weekly Pulse Songs
927,28,-3,Me Acostumbre A Lo Bueno II,"Chuyin, Fuerza Regida",20,25,4,Houston,2024-10-24,City Weekly Pulse Songs
928,29,-8,Happy Face,Treaty Oak Revival,11,21,6,Houston,2024-10-24,City Weekly Pulse Songs
929,30,New,OUTTA TOWN (feat. BossMan Dlow),"Moneybagg Yo, BossMan Dlow",30,—,1,Houston,2024-10-24,City Weekly Pulse Songs
930,31,–,AR (feat. BigXthaPlug),"MO3, That Mexican OT, BigXthaPlug",3,31,22,Houston,2024-10-24,City Weekly Pulse Songs
931,32,-9,I'm Gonna Love You,"Cody Johnson, Carrie Underwood",13,23,4,Houston,2024-10-24,City Weekly Pulse Songs
932,33,+4,End Up Gone,ian,33,37,3,Houston,2024-10-24,City Weekly Pulse Songs
933,34,+6,COME SAVE ME,BIG30,14,40,16,Houston,2024-10-24,City Weekly Pulse Songs
934,35,-3,Ojitos Rojos,Julio Caesar,13,32,10,Houston,2024-10-24,City Weekly Pulse Songs
935,36,-6,Help Me,Real Boston Richey,15,30,17,Houston,2024-10-24,City Weekly Pulse Songs
936,37,+4,SC-9,Yahir Saldivar,3,41,17,Houston,2024-10-24,City Weekly Pulse Songs
937,38,+8,DOS DÍAS,"Tito Double P, Peso Pluma",38,46,9,Houston,2024-10-24,City Weekly Pulse Songs
938,39,-12,Mi Nombre - Prod. by Ernesto Losa,"Bebeshito, Ernesto Losa",27,27,2,Houston,2024-10-24,City Weekly Pulse Songs
939,40,-12,Or What,"NLE Choppa, 41, Kyle Richh",28,28,5,Houston,2024-10-24,City Weekly Pulse Songs
940,41,-12,The Viper,BabyChiefDoit,23,29,4,Houston,2024-10-24,City Weekly Pulse Songs
941,42,+6,One Take Freestyle,1900Rugrat,42,48,3,Houston,2024-10-24,City Weekly Pulse Songs
942,43,-1,RELOJ,"Peso Pluma, Ivan Cornejo",9,42,18,Houston,2024-10-24,City Weekly Pulse Songs
943,44,Re-Entry,Marz,DeeBaby,2,—,1,Houston,2024-10-24,City Weekly Pulse Songs
944,45,-10,Sorry Not Sorry,"Lil Yachty, Veeze",10,35,9,Houston,2024-10-24,City Weekly Pulse Songs
945,46,-10,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",21,36,4,Houston,2024-10-24,City Weekly Pulse Songs
946,47,-13,Casamigos,Koe Wetzel,14,34,6,Houston,2024-10-24,City Weekly Pulse Songs
947,48,New,In a Moment,South Park Mexican,48,—,1,Houston,2024-10-24,City Weekly Pulse Songs
948,49,+18,weren't for the wind,Ella Langley,49,67,2,Houston,2024-10-24,City Weekly Pulse Songs
949,50,New,GEEK TIMË,Yeat,50,—,1,Houston,2024-10-24,City Weekly Pulse Songs
950,51,-18,Run Your Mouth,Gavin Adcock,33,33,12,Houston,2024-10-24,City Weekly Pulse Songs
951,52,Re-Entry,Wrong Ones (Feat. Tim McGraw),"Post Malone, Tim McGraw",29,—,1,Houston,2024-10-24,City Weekly Pulse Songs
952,53,-15,Break It Right Back,Megan Moroney,38,38,3,Houston,2024-10-24,City Weekly Pulse Songs
953,54,+5,ME PORTO BONITO,Los Gemelos De Sinaloa,29,59,15,Houston,2024-10-24,City Weekly Pulse Songs
954,55,+39,I Dunn Swung,Hashi Senjoo,55,94,2,Houston,2024-10-24,City Weekly Pulse Songs
955,56,-9,F*cked A Fan,"Veeze, Rylo Rodriguez",19,47,15,Houston,2024-10-24,City Weekly Pulse Songs
956,57,+43,On D Gas,"LEGADO 7, Kane Rodriguez",57,100,2,Houston,2024-10-24,City Weekly Pulse Songs
957,58,-6,Get It Sexyy,Sexyy Red,4,52,3,Houston,2024-10-24,City Weekly Pulse Songs
958,59,-20,Selena,"Peso Peso, That Mexican OT",6,39,6,Houston,2024-10-24,City Weekly Pulse Songs
959,60,+2,Opp Bitch,"YTM Lilvent, LMG Huncho, YTM Lilvier, YTM Lilvick",60,62,3,Houston,2024-10-24,City Weekly Pulse Songs
960,61,-5,BOP (feat. GloRilla),"Big Boogie, DJ Drama, GloRilla",39,56,17,Houston,2024-10-24,City Weekly Pulse Songs
961,62,-17,No Face,Drake,21,45,8,Houston,2024-10-24,City Weekly Pulse Songs
962,63,+6,NEL,Fuerza Regida,43,69,8,Houston,2024-10-24,City Weekly Pulse Songs
963,64,–,El Plumas,"Neton Vega, Luis R Conriquez",50,64,10,Houston,2024-10-24,City Weekly Pulse Songs
964,65,-7,Voy A Llorar Por Ti,Petroleros Del Bravo,5,58,21,Houston,2024-10-24,City Weekly Pulse Songs
965,66,-9,Lo Que Hay X Aqui,Linea Personal,57,57,2,Houston,2024-10-24,City Weekly Pulse Songs
966,67,-7,Mi Historia Entre Tus Dedos,Grupo Anexxado,4,60,15,Houston,2024-10-24,City Weekly Pulse Songs
967,68,+4,El Sano,"El Taiger, Lex White",68,72,2,Houston,2024-10-24,City Weekly Pulse Songs
968,69,-4,A LA ORDEN,"Santa Fe Klan, Yahir Saldivar",6,65,22,Houston,2024-10-24,City Weekly Pulse Songs
969,70,New,Chingo de Amor,La Fiera de Ojinaga,70,—,1,Houston,2024-10-24,City Weekly Pulse Songs
970,71,New,Come On Home,"Quiet Money Dot, Lil' Keke",71,—,1,Houston,2024-10-24,City Weekly Pulse Songs
971,72,-6,Reap,BAK Jay,40,66,2,Houston,2024-10-24,City Weekly Pulse Songs
972,73,Re-Entry,Tu Boda,"Oscar Maydon, Fuerza Regida",49,—,1,Houston,2024-10-24,City Weekly Pulse Songs
973,74,New,SI NO ES CONTIGO - REMIX,"Cris Mj, Kali Uchis, JHAYCO",74,—,1,Houston,2024-10-24,City Weekly Pulse Songs
974,75,-22,ALL RED,Playboi Carti,5,53,6,Houston,2024-10-24,City Weekly Pulse Songs
975,76,-8,Good Graces,Sabrina Carpenter,31,68,5,Houston,2024-10-24,City Weekly Pulse Songs
976,77,New,Welcome To The Plains,Wyatt Flores,77,—,1,Houston,2024-10-24,City Weekly Pulse Songs
977,78,-27,Flores,Xavi,47,51,5,Houston,2024-10-24,City Weekly Pulse Songs
978,79,+1,What Kinda Man,Parker McCollum,13,80,6,Houston,2024-10-24,City Weekly Pulse Songs
979,80,Re-Entry,Alegre y Enamorado,Milla 22,31,—,1,Houston,2024-10-24,City Weekly Pulse Songs
980,81,-37,Thoughts of You,Ole 60,44,44,5,Houston,2024-10-24,City Weekly Pulse Songs
981,82,Re-Entry,Demons In The Dark,"Money Man, Key Glock",58,—,1,Houston,2024-10-24,City Weekly Pulse Songs
982,83,-9,Juna,Clairo,30,74,15,Houston,2024-10-24,City Weekly Pulse Songs
983,84,Re-Entry,Trapp Back (Bonus),"YSN, J.T",83,—,1,Houston,2024-10-24,City Weekly Pulse Songs
984,85,New,Change My Mind,Riley Green,85,—,1,Houston,2024-10-24,City Weekly Pulse Songs
985,86,+3,Si No Quieres No,"Luis R Conriquez, Neton Vega",60,89,17,Houston,2024-10-24,City Weekly Pulse Songs
986,87,-16,NISSAN ALTIMA,Doechii,32,71,9,Houston,2024-10-24,City Weekly Pulse Songs
987,88,-3,MUTT,Leon Thomas,77,85,4,Houston,2024-10-24,City Weekly Pulse Songs
988,89,New,Awaken,Breaking Benjamin,89,—,1,Houston,2024-10-24,City Weekly Pulse Songs
989,90,-9,28,Zach Bryan,24,81,16,Houston,2024-10-24,City Weekly Pulse Songs
990,91,-15,Little Debbie,King Khemoo,56,76,4,Houston,2024-10-24,City Weekly Pulse Songs
991,92,-19,40 Mo' Reasons,MudBaby Ru,73,73,3,Houston,2024-10-24,City Weekly Pulse Songs
992,93,New,El Gabacho,"Código FN, Neton Vega, Gabito Ballesteros",93,—,1,Houston,2024-10-24,City Weekly Pulse Songs
993,94,-33,DESIERTO,Becky G,61,61,2,Houston,2024-10-24,City Weekly Pulse Songs
994,95,-17,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,42,78,14,Houston,2024-10-24,City Weekly Pulse Songs
995,96,Re-Entry,Rey Sin Reina,Julión Álvarez y su Norteño Banda,66,—,1,Houston,2024-10-24,City Weekly Pulse Songs
996,97,-6,Drink Don't Need No Mix (feat. BigXthaPlug),"Shaboozey, BigXthaPlug",86,91,2,Houston,2024-10-24,City Weekly Pulse Songs
997,98,-11,La Caravana,"Bandi2, Yahir Saldivar",34,87,17,Houston,2024-10-24,City Weekly Pulse Songs
998,99,-4,SportsCenter,BossMan Dlow,15,95,5,Houston,2024-10-24,City Weekly Pulse Songs
999,100,New,Lo Que Hay X Aquí,La Receta,100,—,1,Houston,2024-10-24,City Weekly Pulse Songs
1000,1,New,Ends of the Earth,Ty Myers,1,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1001,2,New,Love Somebody,Morgan Wallen,2,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1002,3,+7,WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",3,10,2,Indianapolis,2024-10-24,City Weekly Pulse Songs
1003,4,New,2AM,BigXthaPlug,4,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1004,5,New,Holding On,Bailey Zimmerman,5,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1005,6,-4,The Viper,BabyChiefDoit,1,2,4,Indianapolis,2024-10-24,City Weekly Pulse Songs
1006,7,-4,Run Your Mouth,Gavin Adcock,1,3,12,Indianapolis,2024-10-24,City Weekly Pulse Songs
1007,8,New,You For A Reason,Warren Zeiders,8,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1008,9,Re-Entry,Change My Mind,Riley Green,9,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1009,10,-6,Made Me Mad Pt.1 (with BloodHound Q50),"Screwly G, BloodHound Q50",4,4,4,Indianapolis,2024-10-24,City Weekly Pulse Songs
1010,11,-3,Federal Nightmares,Rod Wave,8,8,2,Indianapolis,2024-10-24,City Weekly Pulse Songs
1011,12,-6,Winning Streak,Jelly Roll,6,6,2,Indianapolis,2024-10-24,City Weekly Pulse Songs
1012,13,-6,Happy Face,Treaty Oak Revival,1,7,6,Indianapolis,2024-10-24,City Weekly Pulse Songs
1013,14,New,Good Times (Bonus Track),Koe Wetzel,14,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1014,15,-3,WHISKEY WHISKEY (feat. Morgan Wallen),"Moneybagg Yo, Morgan Wallen",1,12,19,Indianapolis,2024-10-24,City Weekly Pulse Songs
1015,16,New,House Again,Hudson Westbrook,16,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1016,17,-8,I'm Gonna Love You,"Cody Johnson, Carrie Underwood",2,9,4,Indianapolis,2024-10-24,City Weekly Pulse Songs
1017,18,–,weren't for the wind,Ella Langley,18,18,3,Indianapolis,2024-10-24,City Weekly Pulse Songs
1018,19,-6,Break It Right Back,Megan Moroney,6,13,3,Indianapolis,2024-10-24,City Weekly Pulse Songs
1019,20,-9,Thoughts of You,Ole 60,5,11,5,Indianapolis,2024-10-24,City Weekly Pulse Songs
1020,21,+26,Awaken,Breaking Benjamin,21,47,2,Indianapolis,2024-10-24,City Weekly Pulse Songs
1021,22,-3,Jailbreak,"Waylon Wyatt, Bayker Blankenship",14,19,7,Indianapolis,2024-10-24,City Weekly Pulse Songs
1022,23,New,Welcome To The Plains,Wyatt Flores,23,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1023,24,-1,I Never Lie,Zach Top,14,23,7,Indianapolis,2024-10-24,City Weekly Pulse Songs
1024,25,New,Gang Baby,NLE Choppa,25,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1025,26,+10,Cavalier,Juice WRLD,26,36,2,Indianapolis,2024-10-24,City Weekly Pulse Songs
1026,27,+3,2 Slippery (feat. BossMan Dlow),"Luh Tyler, BossMan Dlow",14,30,13,Indianapolis,2024-10-24,City Weekly Pulse Songs
1027,28,-6,28,Zach Bryan,6,22,15,Indianapolis,2024-10-24,City Weekly Pulse Songs
1028,29,+11,One Take Freestyle,1900Rugrat,29,40,3,Indianapolis,2024-10-24,City Weekly Pulse Songs
1029,30,-10,Someone In This Room (feat. Bailey Zimmerman),"Jessie Murph, Bailey Zimmerman",7,20,7,Indianapolis,2024-10-24,City Weekly Pulse Songs
1030,31,-2,End Up Gone,ian,29,29,3,Indianapolis,2024-10-24,City Weekly Pulse Songs
1031,32,-5,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,3,27,16,Indianapolis,2024-10-24,City Weekly Pulse Songs
1032,33,-7,Brokey,Latto,26,26,10,Indianapolis,2024-10-24,City Weekly Pulse Songs
1033,34,-13,Losers (Feat. Jelly Roll),"Post Malone, Jelly Roll",21,21,2,Indianapolis,2024-10-24,City Weekly Pulse Songs
1034,35,New,Noid,"Tyler, The Creator",35,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1035,36,New,HIM ALL ALONG,Gunna,36,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1036,37,-12,PTP,Babyfxce E,25,25,13,Indianapolis,2024-10-24,City Weekly Pulse Songs
1037,38,New,Drive Da Boat (feat. BabyChiefDoit),"BAK Jay, BabyChiefDoit",38,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1038,39,-22,War Wounds (with Maxo Kream & Lil' Keke),"That Mexican OT, Maxo Kream, Lil' Keke",17,17,2,Indianapolis,2024-10-24,City Weekly Pulse Songs
1039,40,-7,Thought of You,Sam Barber,33,33,2,Indianapolis,2024-10-24,City Weekly Pulse Songs
1040,41,+1,Next Week,Sterling Elza,41,42,4,Indianapolis,2024-10-24,City Weekly Pulse Songs
1041,42,-5,I'm Still Fine,The Red Clay Strays,17,37,6,Indianapolis,2024-10-24,City Weekly Pulse Songs
1042,43,-2,Wind Up Missin’ You,Tucker Wetmore,1,41,2,Indianapolis,2024-10-24,City Weekly Pulse Songs
1043,44,-16,Lonely Road (with Jelly Roll),"mgk, Jelly Roll",7,28,13,Indianapolis,2024-10-24,City Weekly Pulse Songs
1044,45,-44,Gild the Lily,Billy Strings,1,1,4,Indianapolis,2024-10-24,City Weekly Pulse Songs
1045,46,-22,Dead N****s (feat. Polo G & G Herbo),"VonOff1700, Polo G, G Herbo",20,24,4,Indianapolis,2024-10-24,City Weekly Pulse Songs
1046,47,-8,Sorry Not Sorry,"Lil Yachty, Veeze",12,39,9,Indianapolis,2024-10-24,City Weekly Pulse Songs
1047,48,-5,Drink Don't Need No Mix (feat. BigXthaPlug),"Shaboozey, BigXthaPlug",12,43,21,Indianapolis,2024-10-24,City Weekly Pulse Songs
1048,49,-4,LIL DEMON,Future,45,45,2,Indianapolis,2024-10-24,City Weekly Pulse Songs
1049,50,-15,A Work of Art,"Ice Nine Kills, SHAVO",35,35,2,Indianapolis,2024-10-24,City Weekly Pulse Songs
1050,51,New,First Rodeo,Kelsea Ballerini,51,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1051,52,+1,Don’t HMU,Anella Herim,52,53,3,Indianapolis,2024-10-24,City Weekly Pulse Songs
1052,53,-19,Blood In Blood Out,Lil Scoom89,14,34,13,Indianapolis,2024-10-24,City Weekly Pulse Songs
1053,54,-4,I Ain't Sayin',Jordan Davis,18,50,13,Indianapolis,2024-10-24,City Weekly Pulse Songs
1054,55,New,love you to death,"Josiah Queen, Strings And Heart",55,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1055,56,+2,Bougie Hoes,YFG FATSO,16,58,9,Indianapolis,2024-10-24,City Weekly Pulse Songs
1056,57,-8,Just Like Johnny,Redferrin,39,49,25,Indianapolis,2024-10-24,City Weekly Pulse Songs
1057,58,-27,Backseat Driver,Kane Brown,31,31,2,Indianapolis,2024-10-24,City Weekly Pulse Songs
1058,59,New,Rogue,Upchurch,59,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1059,60,-12,That's Who I Praise,Brandon Lake,5,48,13,Indianapolis,2024-10-24,City Weekly Pulse Songs
1060,61,-10,Maxed Out,Bayker Blankenship,16,51,23,Indianapolis,2024-10-24,City Weekly Pulse Songs
1061,62,-1,F*cked A Fan,"Veeze, Rylo Rodriguez",40,61,15,Indianapolis,2024-10-24,City Weekly Pulse Songs
1062,63,-8,Hell is a Dance Floor,Vincent Mason,15,55,18,Indianapolis,2024-10-24,City Weekly Pulse Songs
1063,64,-8,Help Me,Real Boston Richey,32,56,16,Indianapolis,2024-10-24,City Weekly Pulse Songs
1064,65,–,Tree Birds,Dylan Gossett,65,65,2,Indianapolis,2024-10-24,City Weekly Pulse Songs
1065,66,New,That’s So True,Gracie Abrams,66,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1066,67,New,Need4Speed,Chuckyy,67,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1067,68,Re-Entry,Get It Sexyy,Sexyy Red,3,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1068,69,Re-Entry,Lost My Gun,Bloodhound Lil Jeff,69,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1069,70,+3,Lonely Dirt Road,Dax,70,73,2,Indianapolis,2024-10-24,City Weekly Pulse Songs
1070,71,-2,Darlin',Chase Matthew,30,69,15,Indianapolis,2024-10-24,City Weekly Pulse Songs
1071,72,Re-Entry,BOP (feat. GloRilla),"Big Boogie, DJ Drama, GloRilla",36,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1072,73,-29,Blow for Blow (feat. J. Cole),"Tee Grizzley, J. Cole",19,44,4,Indianapolis,2024-10-24,City Weekly Pulse Songs
1073,74,New,GEEK TIMË,Yeat,74,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1074,75,New,Considering,Austin Snell,75,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1075,76,New,I Need Help,"Connor Price, Taylor Hill, Maverick City Music, Nick Day",76,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1076,77,-14,PSYCHO,HARDY,2,63,2,Indianapolis,2024-10-24,City Weekly Pulse Songs
1077,78,New,Rollin' Stone,Blake Whiten,78,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1078,79,-13,The Thin Grey Line,$uicideboy$,10,66,2,Indianapolis,2024-10-24,City Weekly Pulse Songs
1079,80,-1,Hangin’ On (feat. Morgan Wallen),"ERNEST, Morgan Wallen",3,79,3,Indianapolis,2024-10-24,City Weekly Pulse Songs
1080,81,Re-Entry,4×4×U,Lainey Wilson,31,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1081,82,-23,Burning Down,Alex Warren,26,59,5,Indianapolis,2024-10-24,City Weekly Pulse Songs
1082,83,-1,Devil You Know,Tyler Braden,14,82,38,Indianapolis,2024-10-24,City Weekly Pulse Songs
1083,84,+5,Heaven On Earth,Hayden Blount,84,89,2,Indianapolis,2024-10-24,City Weekly Pulse Songs
1084,85,-1,90s Rap Mashup,Austin Williams,8,84,49,Indianapolis,2024-10-24,City Weekly Pulse Songs
1085,86,-15,Slim Pickins,Sabrina Carpenter,27,71,9,Indianapolis,2024-10-24,City Weekly Pulse Songs
1086,87,+6,What He'll Never Have,Dylan Scott,12,93,7,Indianapolis,2024-10-24,City Weekly Pulse Songs
1087,88,-12,BH4L,"BloodHound Q50, Bloodhound Lil Jeff",76,76,3,Indianapolis,2024-10-24,City Weekly Pulse Songs
1088,89,-22,All My Life,"Falling In Reverse, Jelly Roll",6,67,20,Indianapolis,2024-10-24,City Weekly Pulse Songs
1089,90,+6,Beautiful As You,Thomas Rhett,18,96,7,Indianapolis,2024-10-24,City Weekly Pulse Songs
1090,91,Re-Entry,Cozy,Braxton Keith,91,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1091,92,-14,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",51,78,4,Indianapolis,2024-10-24,City Weekly Pulse Songs
1092,93,Re-Entry,Boogieman,EBK Jaaybo,32,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1093,94,Re-Entry,Anchor,49 Winchester,25,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1094,95,-9,No Face,Drake,39,86,8,Indianapolis,2024-10-24,City Weekly Pulse Songs
1095,96,-2,Demons In The Dark,"Money Man, Key Glock",55,94,3,Indianapolis,2024-10-24,City Weekly Pulse Songs
1096,97,-2,NISSAN ALTIMA,Doechii,65,95,2,Indianapolis,2024-10-24,City Weekly Pulse Songs
1097,98,Re-Entry,Monitoring Me,Lil Durk,37,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1098,99,New,Somebody Prayed (feat. Dylan Scott),"Crowder, Dylan Scott",99,—,1,Indianapolis,2024-10-24,City Weekly Pulse Songs
1099,100,-15,Somebody Save Me,"Eminem, Jelly Roll",13,85,2,Indianapolis,2024-10-24,City Weekly Pulse Songs
1100,1,–,El Punto - Prod. by Ernesto Losa,"Charly & Johayron, Bebeshito, El Taiger, Ernesto Losa",1,1,4,Las Vegas,2024-10-24,City Weekly Pulse Songs
1101,2,+1,No Pasa Nada,"Clave Especial, Fuerza Regida",2,3,2,Las Vegas,2024-10-24,City Weekly Pulse Songs
1102,3,-1,Ain't Shit,"Drexthejoint, Cypress Moreno",1,2,2,Las Vegas,2024-10-24,City Weekly Pulse Songs
