,Rank,Change,Track,Artist,Peak,Prev,Streak,City,Date,Chart
138,39,-6,I Never Lie,Zach Top,29,33,20,Atlanta,2024-10-24,City Weekly Pulse Songs
139,40,-17,BUSINESS IS BUSINESS,"Money Man, Zaytoven, Trauma Tone",23,23,2,Atlanta,2024-10-24,City Weekly Pulse Songs
140,41,-6,85 Cutlass,Rylo Rodriguez,19,35,10,Atlanta,2024-10-24,City Weekly Pulse Songs
141,42,-11,NISSAN ALTIMA,Doechii,31,31,12,Atlanta,2024-10-24,City Weekly Pulse Songs
142,43,-16,Thoughts of You,Ole 60,27,27,5,Atlanta,2024-10-24,City Weekly Pulse Songs
143,44,New,GEEK TIMË,Yeat,44,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
144,45,-8,U Kno What To Do (UKWTD),Sexyy Red,24,37,7,Atlanta,2024-10-24,City Weekly Pulse Songs
145,46,-21,Late Night Link,"Lil Brows, Chin, Austin Awake",7,25,22,Atlanta,2024-10-24,City Weekly Pulse Songs
146,47,-5,PJ (feat. Lil Baby),"BossMan Dlow, Lil Baby",14,42,6,Atlanta,2024-10-24,City Weekly Pulse Songs
147,48,-10,Vision De Tunel,Hermanos Espinoza,38,38,7,Atlanta,2024-10-24,City Weekly Pulse Songs
148,49,-13,The Viper,BabyChiefDoit,34,36,4,Atlanta,2024-10-24,City Weekly Pulse Songs
149,50,-3,John Wayne (feat. Metro Boomin),"Young Nudy, Metro Boomin",23,47,14,Atlanta,2024-10-24,City Weekly Pulse Songs
150,51,+16,Traumatized,lil toonk,51,67,2,Atlanta,2024-10-24,City Weekly Pulse Songs
151,52,+7,Carry It On,DaBaby,52,59,4,Atlanta,2024-10-24,City Weekly Pulse Songs
152,53,-3,Tree Birds,Dylan Gossett,50,50,2,Atlanta,2024-10-24,City Weekly Pulse Songs
153,54,-5,BOP (feat. GloRilla),"Big Boogie, DJ Drama, GloRilla",21,49,8,Atlanta,2024-10-24,City Weekly Pulse Songs
154,55,New,Welcome To The Plains,Wyatt Flores,55,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
155,56,New,Most Beautiful Design (feat. London On Da Track & Future),"Coco Jones, London On Da Track, Future",56,—,1,Atlanta,2024-10-24,City Weekly Pulse Songs
156,57,-14,Rock,Bandmanrill,12,43,4,Atlanta,2024-10-24,City Weekly Pulse Songs
157,58,-12,Or What,"NLE Choppa, 41, Kyle Richh",46,46,5,Atlanta,2024-10-24,City Weekly Pulse Songs
